DateTime,AddedIPs,RemovedIPs
1579074500,9,10
1579075719,85,76
1579076403,11,9
1579078333,68,136
1579078503,87,32
1579080245,8,9
1579082418,18,19156
1579083243,19134,0
1579084341,9,19
1579084937,71,116
1579086498,11,588
1579086843,89,72
