DateTime,Entries,UniqueIPs
1578907922,2775,2839
1578908521,2769,2833
1578909122,2783,2847
1578909722,2792,2857
1578910922,2797,2861
1578911521,2797,2860
1578912721,2798,2861
1578913322,2803,2866
1578913921,2807,2868
1578914522,2814,2876
1578915121,2817,2878
1578916321,2819,2882
1578917521,2817,2878
1578918121,2825,2886
1578918721,2826,2887
1578919321,2821,2881
1578919922,2827,2887
1578920521,2823,2883
1578921721,2831,2891
1578922321,2833,2893
1578922921,2835,2895
1578923521,2836,2896
1578924121,2838,2897
1578925921,2833,2892
1578926521,2839,2898
1578927721,2838,2897
1578928321,2842,2904
1578928921,2849,2914
1578929521,2843,2908
1578930721,2846,2913
1578931321,2858,2925
1578931921,2854,2922
1578932522,2859,2928
1578933121,2867,2937
1578933721,2866,2936
1578934322,2862,2932
1578934921,2856,2925
1578935521,2855,2924
1578936721,2859,2929
1578937321,2860,2930
1578937922,2856,2926
1578938522,2857,2927
1578939121,2863,2934
1578939721,2856,2927
1578940321,2863,2934
1578940922,2855,2926
1578942121,2861,2933
1578942721,2856,2929
1578943321,2861,2933
1578944521,2856,2927
1578945121,2861,2935
1578945721,2876,2950
1578946322,2882,2957
1578946921,2886,2961
1578948121,2866,2937
1578948722,2878,2949
1578949321,2875,2945
1578949921,2881,2951
1578951121,2869,2937
1578951721,2871,2938
1578952922,2866,2931
1578954122,2863,2927
1578954721,2862,2928
1578955922,2872,2940
1578957122,2868,2935
1578957721,2870,2937
1578958921,2875,2942
1578960122,2869,2936
1578960721,2862,2928
1578961321,2861,2928
1578962521,2836,2902
1578964321,2840,2906
1578965521,2839,2904
1578966721,2839,2905
1578967321,2841,2907
1578967921,2822,2888
1578968521,2813,2879
1578969721,2822,2889
1578970921,2823,2889
1578971521,2814,2880
1578972121,2823,2890
1578973321,2876,2942
1578973921,2871,2937
1578974522,2885,2952
1578975722,2878,2945
1578976921,2865,2932
1578977521,2876,2943
1578978721,2885,2955
1578979322,2897,2967
1578979922,2891,2961
1578980521,2888,2959
1578981121,2892,2963
1578981721,2898,2969
1578982322,2883,2954
1578982922,2889,2961
1578983522,2888,2960
1578984121,2894,2967
1578985321,2867,2939
1578985921,2864,2935
1578986521,2878,2949
1578987121,2877,2949
1578987721,2879,2951
1578988321,2875,2949
1578989521,2885,2960
1578990121,2882,2959
1578991322,2864,2940
1578992522,2861,2937
1578993721,2861,2938
1578994321,2850,2928
1578994921,2850,2928
1578995521,2835,2912
1578996121,2843,2920
1578997321,2842,2918
1578998521,2835,2910
1578999121,2843,2918
1578999721,2841,2916
1579000322,2842,2917
1579000921,2837,2912
1579002121,2837,2909
1579002721,2840,2912
1579003321,2835,2907
1579003921,2838,2910
1579004522,2837,2909
1579005121,2832,2905
1579005721,2838,2911
1579006321,2835,2907
1579006921,2826,2898
1579007521,2835,2908
1579008121,2840,2913
1579008721,2845,2918
1579009322,2845,2918
1579009921,2854,2927
1579011121,2856,2929
1579011721,2858,2931
1579012921,2861,2934
1579013521,2865,2939
1579014122,2876,2950
1579014721,2869,2943
1579015321,2918,2992
1579015922,2927,3001
1579016521,2925,3000
1579017721,2921,2996
1579018921,2913,2989
1579019521,2914,2986
1579020121,2921,2993
1579021322,2930,3002
1579022521,2927,2999
1579023121,2931,3007
1579023722,2931,3007
1579024321,2935,3011
1579024922,2934,3010
1579026122,2936,3012
1579027321,2938,3014
1579027921,2935,3010
1579028522,2955,3030
1579029121,2966,3039
1579029722,2961,3034
1579030921,2968,3039
1579031522,2958,3029
1579032121,2952,3021
1579033321,2934,3003
1579033921,2954,3023
1579034522,2962,3032
1579035721,2949,3018
1579036322,2937,3006
1579036921,2944,3014
1579038121,2969,3038
1579038721,2969,3038
1579039321,2975,3044
1579039921,2979,3046
1579040521,2982,3052
1579041121,2975,3044
1579041721,2967,3035
1579042921,2971,3040
1579044121,2975,3045
1579045321,2981,3053
1579045921,2980,3052
1579047121,2986,3059
1579047721,2973,3044
1579048921,2963,3034
1579050721,2973,3046
1579051321,2964,3036
1579051921,2980,3052
1579052522,2973,3045
1579053121,2986,3058
1579054321,2998,3071
1579054922,3011,3084
1579055521,3024,3098
1579056121,3019,3092
1579057921,3021,3094
1579058521,3030,3103
1579059121,3029,3102
1579059721,3016,3089
1579060322,2970,3042
1579061521,2979,3053
1579062121,2981,3055
1579062721,2994,3070
1579063921,3000,3076
1579064521,3000,3079
1579065121,3007,3086
1579065721,2996,3075
1579066321,3004,3086
1579066921,3008,3087
1579068122,2996,3075
1579069321,3004,3083
1579070522,2991,3071
1579071721,3002,3086
1579072321,2982,3067
1579074121,2985,3069
1579075321,2993,3078
1579076521,2978,3062
1579077122,2980,3064
1579077721,2989,3073
1579078921,2983,3067
1579079522,2997,3082
1579080721,2994,3079
1579081322,3005,3090
1579081921,3016,3102
1579082521,3010,3093
1579083122,3018,3102
1579083722,3017,3104
1579084322,3026,3113
1579084922,3036,3124
1579085521,3040,3130
1579086122,3051,3142
1579086721,3053,3144
